first,second
eigen_reg_remove_correct,false
out_use_disc_cov,true
seed_mth_Gene,10000
out_norm_cont_cov,1
out_covariates,true
eigen_reg_r_squared_cutoff,0.6
o_svd_dimvar,"Float32[0.3038006, 0.1687819, 0.06994349, 0.045352876, 0.035317183, 0.02911055, 0.025890946, 0.023367107, 0.020208478, 0.01751417, 0.016458929, 0.014460444, 0.012181938, 0.011799097, 0.010742128, 0.010086834, 0.0097587705, 0.008972883, 0.008898854, 0.008308232, 0.0076667666, 0.0075809956, 0.0072425604, 0.00706017, 0.006825447, 0.0063037276, 0.0058882236, 0.005622983, 0.005190015, 0.00498569, 0.0047994256, 0.0046229362, 0.0043851137, 0.004221201, 0.004028201, 0.003715694, 0.0034618378, 0.0033750534, 0.0033082366, 0.0031317472, 0.0029389262, 0.0027985573, 0.0027035475, 0.0025726557, 0.002515018, 0.0023540258, 0.0022604465, 0.0022016764, 0.002077043, 0.0020048022, 0.0017930865, 0.0017101765, 0.0016669631, 0.0015184879, 0.0014765859, 0.001387775, 0.0013575554, 0.0012983084, 0.0011529922, 0.0011076927, 0.0010309219, 0.00093716383, 0.0008995533, 0.00083756447, 0.00075113773, 0.0006993413, 0.000613451, 0.00058436394, 0.00037884712]"
o_ncc,
o_dco,"[[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0], [1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 0 0 0 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 0 1 1 0 0 0 1 0 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0]]"
S_OH,[NaN -0.004562543384269757; NaN 0.024741126740447705; NaN 0.07635988979449837; NaN 0.01321581553982365; NaN 0.22329325915648834]
o_column_ids,"[""20154287"", ""20821943"", ""21407511"", ""50108886"", ""20348895"", ""92996364"", ""15712086"", ""20105242"", ""9032080"", ""35286551"", ""20311676"", ""92613520"", ""50103255"", ""50302978"", ""84653463"", ""10490993"", ""57978756"", ""50105437"", ""5102083"", ""50107583"", ""43074402"", ""95919181"", ""15218541"", ""86903794"", ""86408244"", ""33411712"", ""94144536"", ""21274866"", ""11389397"", ""85065193"", ""79590778"", ""20237131"", ""39989287"", ""15176592"", ""6073025"", ""21101658"", ""50401264"", ""21157370"", ""21191200"", ""20205705"", ""20730959"", ""31726180"", ""21138877"", ""63874408"", ""20207013"", ""10473384"", ""36773029"", ""61827429"", ""21145876"", ""46246604"", ""50101785"", ""24310553"", ""11440263"", ""10394182"", ""68525196"", ""11310844"", ""64358179"", ""15844425"", ""20280666"", ""17219510"", ""20270768"", ""20240514"", ""11353057"", ""21001933"", ""10100736"", ""21402016"", ""20610726"", ""68914513"", ""50500550"", ""20726273"", ""23004922"", ""10202345"", ""64493027"", ""66406040"", ""50197261"", ""10100862"", ""20236838"", ""21403733"", ""81086436"", ""89546375"", ""31908032"", ""20767628"", ""27313862"", ""20251391"", ""482428"", ""39721045"", ""10101291"", ""77143621"", ""20904509"", ""11259716"", ""92113025"", ""10460587"", ""5498462"", ""11165535"", ""20249897"", ""10514454"", ""50405042"", ""20522343"", ""10669174"", ""90544686"", ""99746564"", ""45566083"", ""20939708"", ""92393245"", ""20682204"", ""50106578"", ""60922329"", ""15196848"", ""11460357"", ""14452889"", ""50303145"", ""35072859"", ""20996621"", ""10246987"", ""10516762"", ""50105987"", ""14184286"", ""50103129"", ""50302004"", ""53772202"", ""50301963"", ""20416210"", ""67185070"", ""20297791"", ""65001607"", ""10100574"", ""10436131"", ""20254164"", ""17929065"", ""20602974"", ""50105725"", ""50301701"", ""16068769"", ""2525608"", ""11200645"", ""50402017"", ""92371267"", ""21190619"", ""10218339"", ""36830117"", ""37251992"", ""50103093"", ""70917649"", ""50107619"", ""10478041"", ""87779516"", ""50101659"", ""91707643"", ""72650337"", ""25300551"", ""50500136"", ""41285665"", ""77239958"", ""70883578"", ""15138884"", ""20944237"", ""65736039"", ""20583594"", ""20963578"", ""20254588"", ""89001223"", ""21406218"", ""72777797"", ""11615242"", ""11395417"", ""21111718"", ""60725338"", ""94722642"", ""20504017"", ""87038802"", ""31813134"", ""24039289"", ""11631558"", ""20221273"", ""50101523"", ""67725478"", ""51400993"", ""18920002"", ""21145740"", ""20998065"", ""8132197"", ""50409370"", ""20233939"", ""52509923"", ""10277308"", ""5689621"", ""20177982"", ""10510090"", ""52311825"", ""11612505"", ""21140119"", ""21411323"", ""20201891"", ""20774339"", ""10205244"", ""75675336"", ""29821047"", ""8637647"", ""61029627"", ""20153984"", ""47236602"", ""20143248"", ""33477756"", ""21117192"", ""84732827"", ""87410220"", ""50109477"", ""22776575"", ""69432088"", ""82624422"", ""89903942"", ""30282435"", ""20656964"", ""89614402"", ""20956867"", ""15115927"", ""10438999"", ""20646778"", ""50405330"", ""20139850"", ""71727427"", ""15114174"", ""21411459"", ""20569910"", ""10557081"", ""36492755"", ""4879843"", ""50404163"", ""50301099"", ""77891596"", ""20983400"", ""22868024"", ""20927178"", ""82684406"", ""20779834"", ""37178462"", ""8109170"", ""24747976"", ""20907246"", ""11632851"", ""10901987"", ""77330002"", ""37065652"", ""54104440"", ""51520126"", ""10315029"", ""11331231"", ""46910335"", ""51668135"", ""21123636""]"
out_all_disc_cov,true
out_all_cont_cov,true
plot_only_color,true
norm_disc,false
cosine_shift_iterations,192
o_seed_genes,"[""DBP"", ""TEF"", ""ZNF580"", ""GFOD1"", ""CASTOR2"", ""ETV5"", ""FMNL1"", ""MAMLD1"", ""TM7SF2"", ""FPGS"", ""SYNJ2"", ""HLF"", ""KBTBD2"", ""MPP2"", ""USP2"", ""CC2D1B"", ""GALNT9"", ""GSTT2B"", ""NR1D1"", ""SRSF5"", ""ZMAT3"", ""ARNTL"", ""FAM3A"", ""FOSL2"", ""HUNK"", ""MORN1"", ""NEXN"", ""SPHK2"", ""TRIM9"", ""ENC1"", ""GUF1"", ""PER2"", ""CRY1"", ""MRAS"", ""SFPQ"", ""ARRDC1"", ""CFAP46"", ""DNAJB1"", ""MKKS"", ""SARS2"", ""SEC14L1"", ""SETD4"", ""SLC6A6"", ""SPATA7"", ""TFR2"", ""PER1"", ""POR"", ""SLC16A1"", ""PER3"", ""NPAS2"", ""TSC22D3"", ""BHLHE41"", ""NR1D2"", ""LEO1"", ""STK35"", ""GRAMD4"", ""COQ10B"", ""DTX4"", ""PDZRN3"", ""DUSP11"", ""OPRL1"", ""LRRC39"", ""TRIM24"", ""RARA"", ""LDB1"", ""BHLHE40"", ""RSPO2"", ""TRAF5"", ""ANKRD12""]"
o_covariates,Float32[0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 1.0; 0.0 0.0; 0.0 1.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 1.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 1.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 1.0; 0.0 0.0; 0.0 1.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 1.0; 0.0 0.0; 0.0 0.0; 0.0 1.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 1.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 1.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 1.0; 0.0 1.0; 0.0 1.0; 0.0 1.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 1.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 1.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 1.0; 0.0 0.0; 0.0 0.0; 0.0 1.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 1.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 1.0; 0.0 1.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 1.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 1.0; 0.0 0.0; 0.0 1.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 1.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 1.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 1.0; 0.0 0.0; 0.0 0.0; 0.0 1.0; 0.0 1.0; 0.0 1.0; 0.0 0.0; 0.0 1.0; 0.0 1.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 1.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0; 0.0 0.0]
init_scale_change,true
align_disc_cov,1
o_dcorrt,"[[0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0], [0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 1; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 1; 1; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 1; 1; 1; 0; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0]]"
out_disc_cov,1
regex_cont,"r"".*_C"""
align_disc,false
train_μA_scale_lim,1000
plot_use_o_cov,true
plot_disc_cov,1
eigen_total_var,0.85
o_cc,
o_dcorr,"[[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0], [0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0]]"
norm_disc_cov,1
blunt_percent,0.975
eigen_contr_var,0.03
o_svd_S,"Float32[19.906523, 14.837615, 9.551565, 7.691369, 6.787252, 6.162066, 5.8113227, 5.520819, 5.134146, 4.779648, 4.6334248, 4.3430195, 3.9861946, 3.9230716, 3.7432246, 3.6272478, 3.5677967, 3.4210982, 3.4069862, 3.2919588, 3.162325, 3.1445918, 3.0735998, 3.0346632, 2.9837902, 2.8674715, 2.7713575, 2.7082186, 2.601851, 2.5501456, 2.5020354, 2.4556258, 2.39162, 2.346478, 2.292224, 2.2015152, 2.1249566, 2.098176, 2.0773075, 2.0211332, 1.9579613, 1.910579, 1.8778864, 1.831854, 1.8112094, 1.7523221, 1.7170998, 1.6946652, 1.6459452, 1.6170849, 1.52935, 1.4935511, 1.4745489, 1.4073678, 1.387802, 1.3454497, 1.3306849, 1.3013692, 1.2263315, 1.2019767, 1.1595885, 1.1056638, 1.0832056, 1.0452784, 0.9897451, 0.95513684, 0.8945469, 0.8729697, 0.7030574]"
X_Val_k,10
cosine_covariate_offset,true
plot_color,"[""b"", ""orange"", ""g"", ""r"", ""m"", ""y"", ""k""]"
train_μA,0.001
out_use_cont_cov,false
align_p_cutoff,0.05
seed_max_CV,0.7
eigen_var_override,false
plot_separate,false
train_collection_time_balance,1.0
out_all_norm_cont_cov,true
train_max_steps,2050
regex_disc,"r"".*_D"""
