Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,hsa-miR-615-3p,3.29665387695427e-08,2.0367643830082462,35.088913969534836,"['TRIR', 'RPL5', 'ZCCHC12', 'MRPS15', 'CUEDC2', 'RPL3', 'UBXN1', 'RPL31', 'TACO1', 'TUSC2', 'PDCD5', 'MRPS12', 'MAGEF1', 'ARPC5L', 'MRFAP1', 'RPL9', 'RPL7', 'PSMD8', 'RPS15', 'RPL7A', 'ZNF609', 'RPS17', 'SNRPD1', 'RPL36AL', 'RPL36', 'IDH3B', 'UQCRFS1', 'TMED2', 'TMSB10', 'SEPHS2', 'HRAS', 'TPI1', 'RPL21', 'RPL23', 'SSR2', 'MRPS18B', 'RAD23A', 'RPSA', 'EDF1', 'MRPL46', 'PDRG1', 'SMDT1', 'DPM3', 'CLPP', 'RPL37A', 'VDAC1', 'PFDN2', 'TMEM126B', 'RPL29', 'ALDOA', 'DCTPP1', 'PTMA', 'UBA52', 'PFDN6', 'BEX4', 'LRPAP1', 'STOML2', 'TOMM40', 'UQCR11', 'MRPL54', 'C12ORF57', 'GRPEL2', 'RPS3', 'PIP5K1A', 'RPL13', 'CYC1', 'RPL15', 'RPS2', 'HNRNPA1', 'CCT7', 'GADD45GIP1', 'PPIL1', 'SPAG7', 'GADD45A', 'ALYREF', 'PA2G4', 'MRPL21', 'NACA', 'SERBP1', 'NDUFAB1', 'RANBP10', 'TOMM7', 'CHMP2A', 'LAMTOR2', 'EIF3D', 'RAN', 'TPT1']",9.240520817102818e-05,0,0,87
2,hsa-miR-16-5p,7.207816769593799e-07,1.7137730632511425,24.237771700644462,"['RPL5', 'RPL30', 'RPL3', 'RPL31', 'TACO1', 'MRFAP1', 'ARPC5L', 'RPL9', 'RPL6', 'TXN2', 'ACTG1', 'LSM10', 'UXT', 'NARS', 'LAPTM4B', 'RPS17', 'CCND1', 'FTH1', 'RPL36', 'ATP6V1E1', 'PHLDA2', 'AP2M1', 'GABARAPL1', 'KDM2A', 'RPL21', 'RPS5', 'RPS6', 'SARS', 'RPSA', 'WBP11', 'TMEM251', 'EML4', 'TMEM126A', 'AURKAIP1', 'SNRPC', 'FTL', 'BEX3', 'ENY2', 'DHX8', 'GABARAP', 'HSP90B1', 'MRPL20', 'GRPEL2', 'BTF3', 'EIF2B2', 'UQCC3', 'PA2G4', 'LSM5', 'MRPL21', 'EIF1', 'TIMM10B', 'MLLT11', 'RPS25', 'RPS27', 'UBE2S', 'NACA', 'RPL27A', 'NDUFAF4', 'PPT1', 'CYCS', 'TMCC1', 'CALR', 'RPS24', 'NOP10', 'PPP1R11', 'RPLP1', 'MRPS12', 'MRPS10', 'MRPL40', 'YWHAQ', 'AIFM2', 'TIMM17A', 'YWHAH', 'CDV3', 'TPI1', 'MRPS23', 'RPS3A', 'EEF1G', 'SMDT1', 'SYF2', 'UFC1', 'CHMP3', 'STRAP', 'RHOV', 'RPL10', 'RNMT', 'RPL12', 'TIMM13', 'PRICKLE2', 'HSD17B8', 'RPL14', 'RPS3', 'RPL13', 'SNCG', 'SNRPB2', 'STX4', 'EMC6', 'RPS2', 'ZNF622', 'HNRNPA1', 'CDIPT', 'CXORF40B', 'PPIL1', 'NDUFA4', 'ATOX1', 'POLE4', 'CDKN2AIPNL', 'SNX15', 'SERBP1', 'LAMTOR2', 'SLIRP', 'LAMTOR1', 'EIF3F', 'LAMTOR4', 'RAN', 'TPT1', 'LAMTOR5']",0.001010175520258571,0,0,117
3,hsa-miR-100-5p,1.6475173704633952e-06,2.886348550778081,38.435312990372225,"['RPL5', 'SET', 'RPL10', 'RPL31', 'RPLP1', 'MRPS33', 'RPL36A', 'RPL10A', 'COX5A', 'RPL7', 'ANAPC11', 'RPS15', 'RPL7A', 'NUDCD2', 'RPS15A', 'RPL14', 'RPL15', 'RPL19', 'RPL39L', 'RPL21', 'RPS8', 'NDUFA2', 'NDUFC2', 'FBXL15', 'RPS27', 'PSMA2', 'SERBP1', 'CCNYL1', 'SNRNP27', 'RPL26', 'ZNF511', 'PFN2']",0.0015393303964696323,0,0,32
4,hsa-miR-186-5p,2.372591297873756e-06,1.9760534508462686,25.592911253282402,"['RPL5', 'SETD2', 'MRPS15', 'CUEDC2', 'SIGLEC9', 'RPL32', 'RPLP1', 'PDCD5', 'MRFAP1', 'NENF', 'COX6A1', 'RPL9', 'TXN2', 'PSMD8', 'RPS4X', 'FUNDC2', 'SPRED2', 'SERP1', 'RPL18A', 'SUMO2', 'RPL36', 'RACK1', 'ARL6IP4', 'TMED2', 'YWHAH', 'RPS7', 'HMGCS1', 'SSR2', 'DHPS', 'MZT2B', 'PSMA2', 'KIT', 'PSME1', 'SRSF3', 'SNRNP27', 'RPL27', 'DNAJC8', 'RPL29', 'COX17', 'BLOC1S6', 'LDHA', 'RNF113A', 'ZMAT2', 'PPCS', 'RPL14', 'PGK1', 'FAM192A', 'RPS2', 'HNRNPA1', 'SLC15A4', 'HMOX2', 'BEND5', 'BTF3', 'RANBP1', 'NDUFA7', 'NDUFA4', 'NDUFA2', 'PDAP1', 'EIF1', 'RPS26', 'FIBP', 'TMEM11', 'C18ORF32', 'RANBP10', 'CHMP2A', 'RPS21', 'RAN']",0.0016625933519850346,0,0,67
5,hsa-miR-92a-3p,5.790159791309657e-06,1.6638000429322743,20.06434816073761,"['RPL3', 'CCNI', 'TRAF3IP1', 'POP4', 'TUSC2', 'ZC3HAV1L', 'PARK7', 'RPL8', 'RPL9', 'RPS15', 'RPS14', 'CHCHD5', 'CHCHD2', 'RPL18A', 'CCND1', 'SNRPD1', 'RPL39', 'RPS10', 'GABARAPL2', 'RPS8', 'RPL23', 'RPS5', 'RPL22', 'TTC7B', 'MED7', 'RBX1', 'MYL6', 'RPL24', 'VDAC2', 'SNRPE', 'RPL27', 'ERH', 'GEMIN6', 'PPIB', 'SHC3', 'NDRG3', 'NDUFB10', 'DHX8', 'GLO1', 'SNU13', 'OAZ1', 'HSP90B1', 'C12ORF57', 'PPCS', 'BTF3', 'MOAP1', 'PRELID1', 'EIF2B2', 'CHCHD10', 'PA2G4', 'FAM136A', 'EIF1', 'RPS25', 'LSM7', 'RPS28', 'COPS6', 'IFT22', 'PSMG3', 'RPS24', 'RPS23', 'COX20', 'RPAIN', 'COX4I1', 'RPLP1', 'DNPH1', 'RPL7A', 'MRPL2', 'YWHAQ', 'UQCRFS1', 'ELOB', 'MRPL9', 'CDV3', 'HMGCS1', 'VBP1', 'MRPS21', 'RPL13A', 'RPS3A', 'DYNLL1', 'MED29', 'GCHFR', 'PFDN2', 'PFDN6', 'RPL11', 'TMEM160', 'PSMA7', 'TSPAN31', 'PSMB6', 'RPS15A', 'CD59', 'ZNF622', 'RPL15', 'POLR2I', 'CCT7', 'POLR2L', 'NDUFA7', 'PPIL1', 'NPM1', 'NDUFA5', 'PDAP1', 'RPA2', 'ATOX1', 'CDKN2AIPNL', 'EIF3I', 'FAU', 'OCIAD2', 'PFKM', 'TPT1']",0.003245963579008194,0,0,107
6,hsa-miR-1180-3p,0.00011225071052595002,4.473592259104959,40.68631817656824,"['FAM200B', 'DHX8', 'RPLP1', 'RPL27A', 'SUMO2', 'RACK1', 'RPL35', 'POLR2I', 'ACTG1', 'COX6B1', 'RPL19', 'EIF1']",0.05243979026737299,0,0,12
7,hsa-miR-331-3p,0.00020830362766609595,2.011746291728653,17.052595192399874,"['CUEDC2', 'DHX8', 'RNMT', 'RPL34', 'MRPS12', 'RPL36A', 'RNF7', 'COX7C', 'SMG6', 'ACTG1', 'NARS', 'RPL7A', 'RPS14', 'LDHA', 'PSMD7', 'RPS3', 'GSE1', 'RPS2', 'CDIPT', 'POLR2L', 'CDKN2D', 'TMEM184A', 'NKX6-3', 'RPS9', 'PPIL1', 'MRPS26', 'TPI1', 'SSR4', 'TFCP2', 'HAX1', 'RPS27', 'PSME1', 'RHOV', 'RPL29', 'LAMTOR4', 'AURKAIP1', 'SLC25A4', 'POLR3K']",0.07531895016680183,0,0,38
8,hsa-miR-324-5p,0.0002149666790347537,2.1570912309167345,18.216694814888815,"['CUEDC2', 'DHX8', 'WBP2', 'MRPL14', 'MEA1', 'COX5A', 'UBL5', 'LDHA', 'RPL36AL', 'RACK1', 'PGK1', 'SAP18', 'RPL37', 'SEC61B', 'RPS2', 'HNRNPA1', 'PAK4', 'YWHAH', 'RPL41', 'CHCHD10', 'PA2G4', 'PDRG1', 'MZT2A', 'PSMC5', 'UBE2S', 'PSME1', 'PIN1', 'RPL27', 'TMCC1', 'ALDOA', 'RAN', 'ITM2C']",0.07531895016680183,0,0,32
9,hsa-miR-652-3p,0.0002625033649552452,2.8009896500213403,23.094850548515563,"['BTF3', 'POM121', 'RPL32', 'RPL21', 'RPS6', 'RPL35A', 'MRPL36', 'ACTG1', 'EML4', 'RPS16', 'RPS19', 'RPL18A', 'GRPEL1', 'RPS29', 'SERBP1', 'RPL27', 'RPL26', 'RPL29', 'COX20']",0.08175521466328359,0,0,19
10,hsa-miR-744-5p,0.0003597344944790602,1.8949404458922936,15.027151202263411,"['RPL3', 'RNASEK', 'RPL10', 'NDUFB10', 'WBP2', 'RPLP1', 'GDI2', 'NUDT2', 'CCDC106', 'MRPL11', 'ACTG1', 'UBL5', 'RPL7A', 'RPS14', 'RAI1', 'PRDX5', 'HINT1', 'SERP1', 'RPL18A', 'RACK1', 'PIP5K1A', 'RPL13', 'RPL37', 'RPL18', 'CCDC71', 'POLR2L', 'PAK4', 'TMEM14C', 'OSBPL5', 'DCXR', 'RPS6', 'PA2G4', 'MRPL46', 'PPDPF', 'ERP29', 'UFC1', 'PIN1', 'VDAC1', 'PTMA', 'RAN', 'LY6E']",0.10083357880248058,0,0,41
11,hsa-miR-320a,0.0004471517464803302,1.765426554630794,13.616050989653745,"['RPL30', 'CCNI', 'RPLP1', 'MRPS12', 'RPL8', 'RPL9', 'ACTG1', 'CKS1B', 'RPS4X', 'RPL7A', 'RPS17', 'RPS16', 'RPL36', 'MRPL9', 'TPI1', 'MRPS18B', 'RPL13A', 'RAD23A', 'IMP4', 'MED26', 'COX6B1', 'SYF2', 'SNRPG', 'VDAC2', 'RPL27', 'VDAC1', 'UBA52', 'PFDN6', 'POM121', 'STOML2', 'MAK16', 'OAZ1', 'PPP1R7', 'DCAF11', 'TAC1', 'PPIL1', 'XBP1', 'NPM1', 'NDUFA3', 'C20ORF27', 'NPM3', 'RPS27', 'RAB14', 'PPT1', 'CALM3', 'EIF3F', 'CALR', 'PFKM', 'RAN']",0.11243038140009924,0,0,49
12,hsa-miR-1245b-5p,0.0005214395141638566,5.552764761012184,41.97288947378062,"['CDV3', 'MRPS15', 'EIF4H', 'RPL35', 'CALM3', 'RAD54L2', 'TMEM251', 'TPT1']",0.11243038140009924,0,0,8
