Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,mmu-miR-1905,0.0003050841741803371,6.604271844660194,53.461070987091176,"['ALCAM', 'FLT1', 'PRKCH', 'TSHZ3', 'SERPINE1', 'NOD1', 'CTSD', 'FAM107B']",0.15833868639959495,0,0,8
2,mmu-miR-5136,0.0008106918755611644,19.455670103092782,138.4781154248841,"['DRAM1', 'FLT1', 'TNFSF10']",0.21037454170812214,0,0,3
3,mmu-miR-875-5p,0.001726215970107464,6.011612021857924,38.24481503405646,"['ARHGAP9', 'CECR2', 'ALCAM', 'FLT1', 'SERPINE1', 'FAM107B']",0.29863536282859127,0,0,6
4,mmu-miR-532-5p,0.002391631791684992,5.017368465644328,30.283729166860706,"['CPM', 'CECR2', 'ALCAM', 'PRKCH', 'SERPINE1', 'TNFSF10', 'CTSD']",0.3103142249711277,0,0,7
5,hsa-miR-4638-5p,0.008588165841990169,4.801436187574802,22.842208899429988,"['CPM', 'ALCAM', 'FLT1', 'LIMD1', 'CTSD']",0.6322272529627961,0,0,5
6,hsa-miR-3684,0.009207653118020662,4.714881780250348,22.102046939445273,"['CPM', 'FLT1', 'TSHZ3', 'TNFSF10', 'NOD1']",0.6322272529627961,0,0,5
7,mmu-miR-878-5p,0.009747522135769642,4.644929830115015,21.509472423318808,"['CPNE8', 'CPM', 'ALCAM', 'PRKCH', 'FAM107B']",0.6322272529627961,0,0,5
8,mmu-miR-5103,0.010808632735527198,7.519028340080972,34.04172512562107,"['CPM', 'FLT1', 'FAM107B']",0.6322272529627961,0,0,3
9,mmu-miR-153,0.01708237828236246,3.5809075342465753,14.573247525942945,"['DRAM1', 'FLT1', 'SERPINE1', 'TNFSF10', 'LIMD1', 'FAM107B']",0.6322272529627961,0,0,6
10,mmu-miR-3960,0.01939030564295849,10.420353982300885,41.087268674919194,"['CPM', 'FLT1']",0.6322272529627961,0,0,2
11,hsa-miR-1307,0.01976537777799283,4.518014613252708,17.727891772463593,"['CPM', 'ALCAM', 'FLT1', 'LIMD1']",0.6322272529627961,0,0,4
12,mmu-miR-1194,0.02329540745743515,3.3132,12.455972228171932,"['CPNE8', 'DRAM1', 'FLT1', 'GPNMB', 'LIMD1', 'FAM107B']",0.6322272529627961,0,0,6
13,mmu-miR-5109,0.023699271600789395,9.33234126984127,34.92452306751634,"['NOD1', 'LIMD1']",0.6322272529627961,0,0,2
14,mmu-miR-542-5p,0.024530587044207453,5.457566765578635,20.235754281147084,"['CPM', 'CECR2', 'ALCAM']",0.6322272529627961,0,0,3
15,mmu-miR-3104-5p,0.025622315091069367,3.5663958885941645,13.068314582254365,"['CPM', 'ALCAM', 'DRAM1', 'FLT1', 'LIMD1']",0.6322272529627961,0,0,5
16,mmu-miR-3096b-3p,0.026102290048471814,3.2180187207488298,11.732034557908277,"['CPNE8', 'ALCAM', 'FLT1', 'TSHZ3', 'CHI3L1', 'FAM107B']",0.6322272529627961,0,0,6
17,mmu-miR-1932,0.02653041919302201,8.767723880597014,31.82213213894473,"['FLT1', 'TNFSF10']",0.6322272529627961,0,0,2
18,mmu-miR-453,0.029048508491934223,3.9834303627407075,14.096516123357599,"['CPM', 'DRAM1', 'SERPINE1', 'NOD1']",0.6322272529627961,0,0,4
19,mmu-miR-450a,0.029115816447921293,8.326241134751774,29.44553305860948,"['FLT1', 'TNFSF10']",0.6322272529627961,0,0,2
20,mmu-miR-682,0.029136726010697268,3.1274733637747336,11.057982205133367,"['CPNE8', 'CECR2', 'ALCAM', 'FLT1', 'NOD1', 'LIMD1']",0.6322272529627961,0,0,6
21,mmu-miR-300,0.02953243136951439,3.116464339908953,10.977017167034738,"['CPM', 'FLT1', 'PRKCH', 'TSHZ3', 'SERPINE1', 'TNFSF10']",0.6322272529627961,0,0,6
22,hsa-miR-4258,0.029936553193148228,3.943655723158829,13.837006364448916,"['CPM', 'GPNMB', 'SERPINE1', 'NOD1']",0.6322272529627961,0,0,4
23,mmu-miR-376a,0.033375624762943056,7.714638157894737,26.229225414716442,"['CPM', 'TSHZ3']",0.6322272529627961,0,0,2
24,hsa-miR-142-3p,0.03425468068413288,3.2782602013371243,11.060627198578056,"['CPNE8', 'CPM', 'FLT1', 'TNFSF10', 'LIMD1']",0.6322272529627961,0,0,5
25,hsa-miR-1468,0.03471674179299604,4.739378238341969,15.926838087738876,"['FLT1', 'TSHZ3', 'FAM107B']",0.6322272529627961,0,0,3
26,hsa-miR-2277-5p,0.03913089460229833,7.053463855421687,22.85916882552374,"['CPM', 'SERPINE1']",0.6322272529627961,0,0,2
27,mmu-miR-3104-3p,0.04165085695928066,4.394216867469879,13.966725374227353,"['CPM', 'TSHZ3', 'FAM107B']",0.6322272529627961,0,0,3
28,mmu-miR-681,0.042078804403323136,3.513050408447898,11.130085381196952,"['ALCAM', 'FLT1', 'CTSD', 'FAM107B']",0.6322272529627961,0,0,4
29,mmu-miR-5116,0.04489333418928023,3.022948241349728,9.381616948613148,"['CPM', 'ALCAM', 'DRAM1', 'LIMD1', 'FAM107B']",0.6322272529627961,0,0,5
30,mmu-miR-1839-5p,0.04582473714915064,3.0040523247547277,9.261286702235003,"['DRAM1', 'FLT1', 'TNFSF10', 'LIMD1', 'FAM107B']",0.6322272529627961,0,0,5
31,hsa-miR-4317,0.04788429939617562,2.963821566561293,9.006957733950658,"['CPNE8', 'CPM', 'ALCAM', 'DRAM1', 'FAM107B']",0.6322272529627961,0,0,5
32,mmu-miR-409-5p,0.049192704353835236,3.326638878363016,10.019869408241082,"['ALCAM', 'FLT1', 'PRKCH', 'TSHZ3']",0.6322272529627961,0,0,4
33,hsa-miR-4798-5p,0.049345869535496426,6.1798941798941796,18.59469110003511,"['CECR2', 'FAM107B']",0.6322272529627961,0,0,2
34,hsa-miR-4634,0.05074410092819867,6.081380208333333,18.128350572264257,"['SERPINE1', 'CTSD']",0.6322272529627961,0,0,2
35,hsa-miR-3147,0.05319788328856095,2.8687461606716265,8.41614581202725,"['ARHGAP9', 'CPM', 'SERPINE1', 'TNFSF10', 'LIMD1']",0.6322272529627961,0,0,5
36,hsa-miR-1234,0.055009955938315556,3.197296309828279,9.272930144488225,"['ALCAM', 'FLT1', 'LIMD1', 'CTSD']",0.6322272529627961,0,0,4
37,mmu-miR-5135,0.05652273694143777,3.1663950751403225,9.097408630833243,"['CPM', 'FLT1', 'LIMD1', 'FAM107B']",0.6322272529627961,0,0,4
38,mmu-miR-3102-5p.2,0.05904431532981586,2.776193633952255,7.855148299893987,"['PRKCH', 'TSHZ3', 'LIMD1', 'CTSD', 'FAM107B']",0.6322272529627961,0,0,5
39,hsa-miR-496,0.05977845737367309,2.76533174729051,7.790243518168996,"['CPM', 'CECR2', 'DRAM1', 'FLT1', 'TNFSF10']",0.6322272529627961,0,0,5
40,hsa-miR-1244,0.05977845737367309,2.76533174729051,7.790243518168996,"['CPM', 'CECR2', 'SERPINE1', 'NOD1', 'FAM107B']",0.6322272529627961,0,0,5
41,mmu-miR-5119,0.06372349825905352,2.7095098993833173,7.459827789394818,"['ALCAM', 'FLT1', 'PRKCH', 'TNFSF10', 'FAM107B']",0.6322272529627961,0,0,5
42,hsa-miR-3659,0.06449225850469852,2.699100731060361,7.3988021459432165,"['CPM', 'ALCAM', 'GPNMB', 'TSHZ3', 'NOD1']",0.6322272529627961,0,0,5
43,mmu-miR-669h-5p,0.06487872032977669,2.693922366466447,7.368512341582495,"['CPM', 'DRAM1', 'FLT1', 'TSHZ3', 'FAM107B']",0.6322272529627961,0,0,5
44,mmu-miR-3079-5p,0.06514232444445384,3.007773363275177,8.21477284832987,"['ALCAM', 'SERPINE1', 'TNFSF10', 'LIMD1']",0.6322272529627961,0,0,4
45,mmu-miR-216b,0.06526657044410315,2.688761364369076,7.338370011238455,"['ALCAM', 'SERPINE1', 'TNFSF10', 'LIMD1', 'FAM107B']",0.6322272529627961,0,0,5
46,hsa-miR-1296,0.06585204315785678,2.995869191049914,8.149797246714513,"['CPM', 'CECR2', 'ALCAM', 'CTSD']",0.6322272529627961,0,0,4
47,hsa-miR-517c,0.06652834234980175,5.194754464285714,14.07844548198974,"['CECR2', 'ALCAM']",0.6322272529627961,0,0,2
48,hsa-miR-517a,0.06652834234980175,5.194754464285714,14.07844548198974,"['CECR2', 'ALCAM']",0.6322272529627961,0,0,2
49,mmu-miR-1193-5p,0.06680496569314659,2.9801301815690304,8.064166304590456,"['CECR2', 'ALCAM', 'FLT1', 'LIMD1']",0.6322272529627961,0,0,4
50,mmu-miR-379,0.06680496569314659,2.9801301815690304,8.064166304590456,"['CECR2', 'ALCAM', 'FLT1', 'LIMD1']",0.6322272529627961,0,0,4
51,mmu-miR-467h,0.06881974373148365,2.6430794638887125,7.073580010457327,"['CPM', 'ALCAM', 'FLT1', 'GPNMB', 'FAM107B']",0.6322272529627961,0,0,5
52,mmu-miR-467e,0.06881974373148365,2.6430794638887125,7.073580010457327,"['CPM', 'ALCAM', 'FLT1', 'GPNMB', 'FAM107B']",0.6322272529627961,0,0,5
53,hsa-miR-4787-5p,0.07024104667469191,3.509338521400778,9.320179953848235,"['FLT1', 'SERPINE1', 'LIMD1']",0.6322272529627961,0,0,3
54,mmu-miR-1191,0.0745708386875785,2.5746569814366422,6.683824329389755,"['CPNE8', 'ALCAM', 'FLT1', 'NOD1', 'LIMD1']",0.6322272529627961,0,0,5
55,hsa-miR-4704-5p,0.07733369706371719,2.5439297124600637,6.511507343356857,"['TSHZ3', 'SERPINE1', 'TNFSF10', 'LIMD1', 'FAM107B']",0.6322272529627961,0,0,5
56,mmu-miR-192,0.07804464828088252,2.812936778807086,7.174322686770971,"['ALCAM', 'DRAM1', 'NOD1', 'LIMD1']",0.6322272529627961,0,0,4
57,mmu-miR-215,0.07804464828088252,2.812936778807086,7.174322686770971,"['ALCAM', 'DRAM1', 'NOD1', 'LIMD1']",0.6322272529627961,0,0,4
58,hsa-miR-409-5p,0.07935197674310149,2.79541047188106,7.0831841472121715,"['CPM', 'FLT1', 'TSHZ3', 'LIMD1']",0.6322272529627961,0,0,4
59,mmu-miR-698,0.08014194351545434,2.784989531325495,7.029190821870932,"['CPNE8', 'DRAM1', 'SERPINE1', 'LIMD1']",0.6322272529627961,0,0,4
60,mmu-miR-448-5p,0.08037478661731713,2.5115445376108885,6.331741289562249,"['CPM', 'DRAM1', 'PRKCH', 'SERPINE1', 'LIMD1']",0.6322272529627961,0,0,5
61,mmu-miR-669f-5p,0.08067090485062331,2.778081311264663,6.993478839986189,"['CPNE8', 'CPM', 'SERPINE1', 'CHI3L1']",0.6322272529627961,0,0,4
62,mmu-miR-669l,0.08067090485062331,2.778081311264663,6.993478839986189,"['CPNE8', 'CPM', 'SERPINE1', 'CHI3L1']",0.6322272529627961,0,0,4
63,mmu-miR-669a-5p,0.08067090485062331,2.778081311264663,6.993478839986189,"['CPNE8', 'CPM', 'SERPINE1', 'CHI3L1']",0.6322272529627961,0,0,4
64,mmu-miR-669p,0.08067090485062331,2.778081311264663,6.993478839986189,"['CPNE8', 'CPM', 'SERPINE1', 'CHI3L1']",0.6322272529627961,0,0,4
65,hsa-miR-4785,0.08208190932660328,4.58498023715415,11.462623153448588,"['ALCAM', 'DRAM1']",0.6322272529627961,0,0,2
66,mmu-miR-448-3p,0.08214311387597176,2.493358290061587,6.231631080241744,"['CPNE8', 'DRAM1', 'FLT1', 'SERPINE1', 'TNFSF10']",0.6322272529627961,0,0,5
67,mmu-miR-137,0.086890529370615,2.4466884466884466,5.977519800985275,"['CPNE8', 'ALCAM', 'DRAM1', 'FLT1', 'LIMD1']",0.6322272529627961,0,0,5
68,mmu-miR-3965,0.08716225933616888,2.697543420434987,6.581962373879039,"['CPNE8', 'ALCAM', 'FLT1', 'SERPINE1']",0.6322272529627961,0,0,4
69,hsa-miR-662,0.09105440078653189,3.121602787456446,7.48029095415611,"['FLT1', 'LIMD1', 'FAM107B']",0.6322272529627961,0,0,3
70,mmu-miR-221,0.09393678247544707,2.3825834542815674,5.635127348184486,"['CPNE8', 'DRAM1', 'PRKCH', 'LIMD1', 'FAM107B']",0.6322272529627961,0,0,5
71,mmu-miR-1928,0.09393678247544707,2.3825834542815674,5.635127348184486,"['CPNE8', 'DRAM1', 'PRKCH', 'LIMD1', 'FAM107B']",0.6322272529627961,0,0,5
72,mmu-miR-222,0.09393678247544707,2.3825834542815674,5.635127348184486,"['CPNE8', 'DRAM1', 'PRKCH', 'LIMD1', 'FAM107B']",0.6322272529627961,0,0,5
73,hsa-miR-934,0.09651627971952974,2.5934762911507097,6.063660600470123,"['CECR2', 'ALCAM', 'DRAM1', 'FLT1']",0.6322272529627961,0,0,4
74,hsa-miR-516a-5p,0.09866625224881814,4.100620567375887,9.497087727099128,"['CPM', 'ALCAM']",0.6322272529627961,0,0,2
75,hsa-miR-4746-5p,0.10639770230064503,3.914406779661017,8.770507476177356,"['ALCAM', 'FLT1']",0.6322272529627961,0,0,2
76,hsa-miR-483-5p,0.10665849105794885,2.9001626016260165,6.490921263739465,"['ALCAM', 'FLT1', 'SERPINE1']",0.6322272529627961,0,0,3
77,mmu-miR-296-3p,0.10666162918658527,2.493586005830904,5.580879377789691,"['CPNE8', 'CPM', 'FLT1', 'CHI3L1']",0.6322272529627961,0,0,4
78,mmu-miR-3963,0.10823741207850142,2.880129240710824,6.403760586430952,"['CPNE8', 'FLT1', 'PRKCH']",0.6322272529627961,0,0,3
79,hsa-miR-4713-3p,0.10881309853428187,2.473874656245477,5.487359661648882,"['DRAM1', 'FLT1', 'TSHZ3', 'LIMD1']",0.6322272529627961,0,0,4
80,hsa-miR-615-3p,0.11002306654668102,3.833887043189369,8.461638824402566,"['FLT1', 'SERPINE1']",0.6322272529627961,0,0,2
81,mmu-miR-509-3p,0.1110239429640507,2.8456869009584667,6.254846553641263,"['TNFSF10', 'LIMD1', 'RASAL3']",0.6322272529627961,0,0,3
82,mmu-miR-339-3p,0.11184872226576661,3.7948190789473686,8.31296108887643,"['DRAM1', 'FAM107B']",0.6322272529627961,0,0,2
83,mmu-miR-1843-3p,0.11303237940979832,2.821553090332805,6.151214163842478,"['CPM', 'SERPINE1', 'CTSD']",0.6322272529627961,0,0,3
84,mmu-miR-1247,0.11307053510474271,3.769199346405229,8.215887589097488,"['CPM', 'DRAM1']",0.6322272529627961,0,0,2
85,hsa-miR-196a,0.11380979373695424,2.4298532972511038,5.280622062755443,"['CPM', 'FLT1', 'SERPINE1', 'LIMD1']",0.6322272529627961,0,0,4
86,hsa-miR-196b,0.11380979373695424,2.4298532972511038,5.280622062755443,"['CPM', 'FLT1', 'SERPINE1', 'LIMD1']",0.6322272529627961,0,0,4
87,mmu-miR-434-3p,0.12053246678643426,2.3741629464285716,5.023339736833171,"['ALCAM', 'FLT1', 'LIMD1', 'FAM107B']",0.6322272529627961,0,0,4
88,hsa-miR-4640-3p,0.121507882918382,2.3663931005703156,4.987826911265928,"['CECR2', 'FLT1', 'LIMD1', 'CTSD']",0.6322272529627961,0,0,4
89,hsa-miR-645,0.12314184131306717,2.353543743078627,4.9293053362553465,"['CPM', 'FLT1', 'TNFSF10', 'LIMD1']",0.6322272529627961,0,0,4
90,mmu-miR-3070a,0.12577753444118447,2.3332417582417584,4.83737138463639,"['ALCAM', 'DRAM1', 'NOD1', 'LIMD1']",0.6322272529627961,0,0,4
91,hsa-miR-3681,0.12577753444118447,2.3332417582417584,4.83737138463639,"['CPM', 'ALCAM', 'FLT1', 'TNFSF10']",0.6322272529627961,0,0,4
92,mmu-miR-3070b-3p,0.12577753444118447,2.3332417582417584,4.83737138463639,"['ALCAM', 'DRAM1', 'NOD1', 'LIMD1']",0.6322272529627961,0,0,4
93,mmu-miR-2182,0.1261162919476458,3.5191131498470947,7.28650270861257,"['FLT1', 'PRKCH']",0.6322272529627961,0,0,2
94,hsa-miR-3162-3p,0.12677265551210715,2.325708807012738,4.8034257341296795,"['DRAM1', 'SERPINE1', 'CHI3L1', 'LIMD1']",0.6322272529627961,0,0,4
95,hsa-miR-187,0.1280107108881398,3.4859848484848484,7.165934564286912,"['CPM', 'FLT1']",0.6322272529627961,0,0,2
96,mmu-miR-3077,0.1284393047108123,2.313249727371865,4.747479693053838,"['CPNE8', 'DRAM1', 'FLT1', 'PRKCH']",0.6322272529627961,0,0,4
97,mmu-miR-678,0.1292777127635024,3.4642319277108435,7.087099268068962,"['NOD1', 'LIMD1']",0.6322272529627961,0,0,2
98,hsa-miR-4281,0.13078955135263962,2.2960054163845633,4.6704555242030175,"['CPM', 'SERPINE1', 'NOD1', 'LIMD1']",0.6322272529627961,0,0,4
99,mmu-miR-3074-1-3p,0.13349954764292574,2.2765757290686737,4.584243084485408,"['CPM', 'FLT1', 'PRKCH', 'SERPINE1']",0.6322272529627961,0,0,4
100,mmu-miR-1933-5p,0.13349954764292574,2.2765757290686737,4.584243084485408,"['ARHGAP9', 'CPM', 'DRAM1', 'FAM107B']",0.6322272529627961,0,0,4
101,mmu-miR-1963,0.13758951044376108,3.3289855072463768,6.602978133449878,"['SERPINE1', 'CHI3L1']",0.6322272529627961,0,0,2
102,mmu-miR-804,0.13761200101545984,2.2479734219269103,4.458444219329704,"['FLT1', 'GPNMB', 'SERPINE1', 'CTSD']",0.6322272529627961,0,0,4
103,mmu-miR-18b,0.14143111004239797,2.222309918442515,4.346710496045625,"['ALCAM', 'TSHZ3', 'SERPINE1', 'TNFSF10']",0.6322272529627961,0,0,4
104,mmu-miR-18a,0.14143111004239797,2.222309918442515,4.346710496045625,"['ALCAM', 'TSHZ3', 'SERPINE1', 'TNFSF10']",0.6322272529627961,0,0,4
105,mmu-miR-1839-3p,0.14175975369768026,2.5276108726752504,4.937995019276064,"['ALCAM', 'FLT1', 'NOD1']",0.6322272529627961,0,0,3
106,mmu-miR-323-5p,0.14213050958692866,2.2176995798319328,4.3267530856286305,"['CPNE8', 'PRKCH', 'NOD1', 'FAM107B']",0.6322272529627961,0,0,4
107,mmu-miR-155,0.1428314419707512,2.2131061598951507,4.306903924825983,"['DRAM1', 'FLT1', 'TSHZ3', 'LIMD1']",0.6322272529627961,0,0,4
108,hsa-miR-192,0.1428314419707512,2.2131061598951507,4.306903924825983,"['CPM', 'ALCAM', 'FLT1', 'SERPINE1']",0.6322272529627961,0,0,4
109,hsa-miR-215,0.1428314419707512,2.2131061598951507,4.306903924825983,"['CPM', 'ALCAM', 'FLT1', 'SERPINE1']",0.6322272529627961,0,0,4
110,hsa-miR-4783-3p,0.14472047445282193,3.222261235955056,6.228473592190984,"['FLT1', 'TSHZ3']",0.6322272529627961,0,0,2
111,mmu-miR-340-3p,0.14602613646591592,3.2035614525139664,6.163555027067447,"['FLT1', 'NOD1']",0.6322272529627961,0,0,2
112,hsa-miR-1203,0.14930209940711686,3.1577134986225897,6.005287470038931,"['FLT1', 'SERPINE1']",0.6322272529627961,0,0,2
113,mmu-miR-375,0.15100094277001597,2.1614683609292773,4.086189360250932,"['CPNE8', 'CPM', 'DRAM1', 'FLT1']",0.6322272529627961,0,0,4
114,mmu-miR-505-3p,0.15316454221386744,2.1483467381590704,4.030819446607785,"['FLT1', 'TSHZ3', 'TNFSF10', 'FAM107B']",0.6322272529627961,0,0,4
115,mmu-miR-770-3p,0.15352642715075576,2.146173469387755,4.021677041297553,"['CPM', 'NOD1', 'CTSD', 'FAM107B']",0.6322272529627961,0,0,4
116,hsa-miR-1911,0.15566230010491897,2.4117808219178083,4.486072377177683,"['ALCAM', 'FLT1', 'TNFSF10']",0.6322272529627961,0,0,3
117,mmu-miR-1951,0.15703227305143147,2.4010914051841747,4.445149964122373,"['NOD1', 'LIMD1', 'FAM107B']",0.6322272529627961,0,0,3
118,mmu-miR-3094,0.15789740521223972,2.1203937405350834,3.9138435269776104,"['ARHGAP9', 'CPNE8', 'CHI3L1', 'NOD1']",0.6322272529627961,0,0,4
119,mmu-miR-467a,0.15826399933577773,2.118270079435128,3.905011315346737,"['CPM', 'ALCAM', 'DRAM1', 'FAM107B']",0.6322272529627961,0,0,4
120,mmu-miR-290-3p,0.15826399933577773,2.118270079435128,3.905011315346737,"['CPM', 'ALCAM', 'DRAM1', 'FAM107B']",0.6322272529627961,0,0,4
121,mmu-miR-292-3p,0.15826399933577773,2.118270079435128,3.905011315346737,"['CPM', 'ALCAM', 'DRAM1', 'FAM107B']",0.6322272529627961,0,0,4
122,mmu-miR-767,0.16047106686503418,2.105606421673147,3.852505147414235,"['FLT1', 'GPNMB', 'NOD1', 'LIMD1']",0.6322272529627961,0,0,4
123,mmu-miR-1941-3p,0.16157939779523717,2.0993244933700277,3.8265618372787955,"['CPM', 'ALCAM', 'FLT1', 'LIMD1']",0.6322272529627961,0,0,4
124,mmu-miR-92a,0.16269090588566681,2.0930754834684966,3.8008223872825484,"['CPNE8', 'DRAM1', 'FLT1', 'LIMD1']",0.6322272529627961,0,0,4
125,mmu-miR-32,0.16269090588566681,2.0930754834684966,3.8008223872825484,"['CPNE8', 'DRAM1', 'FLT1', 'LIMD1']",0.6322272529627961,0,0,4
126,mmu-miR-25,0.16269090588566681,2.0930754834684966,3.8008223872825484,"['CPNE8', 'DRAM1', 'FLT1', 'LIMD1']",0.6322272529627961,0,0,4
127,mmu-miR-367,0.16269090588566681,2.0930754834684966,3.8008223872825484,"['CPNE8', 'DRAM1', 'FLT1', 'LIMD1']",0.6322272529627961,0,0,4
128,mmu-miR-92b,0.16269090588566681,2.0930754834684966,3.8008223872825484,"['CPNE8', 'DRAM1', 'FLT1', 'LIMD1']",0.6322272529627961,0,0,4
129,mmu-miR-363-3p,0.16269090588566681,2.0930754834684966,3.8008223872825484,"['CPNE8', 'DRAM1', 'FLT1', 'LIMD1']",0.6322272529627961,0,0,4
130,mmu-miR-1893,0.16321717529367885,5.970904490828589,10.823300945927711,['NOD1'],0.6322272529627961,0,0,1
131,hsa-miR-553,0.16323417721383762,2.9781901041666665,5.398176366865416,"['ALCAM', 'FLT1']",0.6322272529627961,0,0,2
132,mmu-miR-669j,0.1638055753518384,2.0868591338974616,3.775284834957382,"['CPNE8', 'DRAM1', 'FLT1', 'SERPINE1']",0.6322272529627961,0,0,4
133,mmu-miR-669i,0.1638055753518384,2.0868591338974616,3.775284834957382,"['CPNE8', 'DRAM1', 'FLT1', 'SERPINE1']",0.6322272529627961,0,0,4
134,hsa-miR-4445,0.16455043680049924,2.082732919254658,3.7583710071418084,"['CPM', 'CECR2', 'FLT1', 'TNFSF10']",0.6322272529627961,0,0,4
135,hsa-miR-556-5p,0.16492339030547576,2.0806751892764055,3.7499472415123414,"['FLT1', 'TNFSF10', 'NOD1', 'FAM107B']",0.6322272529627961,0,0,4
136,hsa-miR-331-5p,0.16567033989005833,2.076570437368356,3.733165653767817,"['CPM', 'ALCAM', 'SERPINE1', 'LIMD1']",0.6322272529627961,0,0,4
137,mmu-miR-3068,0.16791948674155796,2.0643411808209047,3.683343401250474,"['CPNE8', 'CPM', 'LIMD1', 'FAM107B']",0.6361329461231283,0,0,4
138,hsa-miR-1539,0.17266361737160021,2.869032663316583,5.039197618737696,"['FLT1', 'NOD1']",0.6372687297688342,0,0,2
139,hsa-miR-4703-3p,0.17283482195163838,2.038274012676743,3.5780247802445184,"['CPNE8', 'DRAM1', 'FLT1', 'SERPINE1']",0.6372687297688342,0,0,4
140,mmu-miR-3091-5p,0.17331561310279986,2.2825520833333335,4.000494350820716,"['DRAM1', 'SERPINE1', 'CTSD']",0.6372687297688342,0,0,3
141,hsa-miR-190b,0.1743586890697003,2.0303692905733723,3.546325578373205,"['CPNE8', 'FLT1', 'TNFSF10', 'FAM107B']",0.6372687297688342,0,0,4
142,hsa-miR-190,0.1743586890697003,2.0303692905733723,3.546325578373205,"['CPNE8', 'FLT1', 'TNFSF10', 'FAM107B']",0.6372687297688342,0,0,4
143,mmu-miR-1195,0.1780648834699253,2.2506426735218508,3.883725384883259,"['FLT1', 'SERPINE1', 'TNFSF10']",0.6462634581880505,0,0,3
144,hsa-miR-3178,0.18082600548642933,2.78140243902439,4.756810095156741,"['CPM', 'SERPINE1']",0.64826383625895,0,0,2
145,mmu-miR-871-3p,0.18205708564589815,1.991638795986622,3.3926271999588264,"['CPNE8', 'CPM', 'PRKCH', 'SERPINE1']",0.64826383625895,0,0,4
146,mmu-miR-133a,0.1836123004432864,1.984047619047619,3.3628194643038056,"['CPM', 'FLT1', 'CHI3L1', 'NOD1']",0.64826383625895,0,0,4
147,mmu-miR-133b,0.1836123004432864,1.984047619047619,3.3628194643038056,"['CPM', 'FLT1', 'CHI3L1', 'NOD1']",0.64826383625895,0,0,4
148,hsa-miR-208a,0.18673794618800174,1.9690160832544938,3.304105473880767,"['CPNE8', 'CPM', 'FLT1', 'NOD1']",0.650449624641429,0,0,4
149,hsa-miR-208b,0.18673794618800174,1.9690160832544938,3.304105473880767,"['CPNE8', 'CPM', 'FLT1', 'NOD1']",0.650449624641429,0,0,4
150,hsa-miR-4767,0.18836694590037031,2.705463182897862,4.51640115973733,"['LIMD1', 'CTSD']",0.6512911046163943,0,0,2
151,hsa-miR-383,0.18948931945486616,1.9560258671369783,3.2536976683266663,"['FLT1', 'PRKCH', 'TNFSF10', 'CHI3L1']",0.6512911046163943,0,0,4
152,mmu-miR-344b,0.19384335006930628,1.9359123747378233,3.17626095786507,"['CPNE8', 'SERPINE1', 'TNFSF10', 'FAM107B']",0.6618730176708549,0,0,4
153,mmu-miR-33,0.19703286788450577,1.9215096087057189,3.121270851764152,"['CPM', 'FLT1', 'CHI3L1', 'FAM107B']",0.6656994107248445,0,0,4
154,hsa-miR-505,0.19863475582722045,1.9143780290791599,3.0941853524118565,"['CPM', 'TSHZ3', 'LIMD1', 'FAM107B']",0.6656994107248445,0,0,4
155,mmu-miR-2183,0.2014040967511725,2.108232445520581,3.378320126945672,"['ALCAM', 'TSHZ3', 'CTSD']",0.6656994107248445,0,0,3
156,mmu-miR-582-3p,0.20185258260988162,1.900252235725751,3.0408171424835686,"['CPNE8', 'CPM', 'DRAM1', 'NOD1']",0.6656994107248445,0,0,4
157,hsa-miR-509-3p,0.20189925069955153,2.105441354292624,3.3686776695418588,"['FLT1', 'PRKCH', 'LIMD1']",0.6656994107248445,0,0,3
158,hsa-miR-3680,0.20265993621295844,1.8967490842490842,3.0276400059446282,"['ARHGAP9', 'CPM', 'DRAM1', 'LIMD1']",0.6656994107248445,0,0,4
159,mmu-miR-493,0.20590078175420978,1.882848043676069,2.975579368972178,"['CPNE8', 'FLT1', 'PRKCH', 'NOD1']",0.6720545586813493,0,0,4
160,mmu-miR-412-5p,0.20826019656309733,4.537608486017358,7.119358137042631,['FAM107B'],0.6720545586813493,0,0,1
161,hsa-miR-3615,0.20847935250038005,2.5230555555555556,3.95593733620195,"['ALCAM', 'GPNMB']",0.6720545586813493,0,0,2
162,mmu-miR-376c,0.21243624933427946,1.8555705300988319,2.8744890591868257,"['ALCAM', 'FLT1', 'TSHZ3', 'LIMD1']",0.678150181374456,0,0,4
163,mmu-miR-3101,0.21337963775414534,2.0430588235294116,3.155876931024776,"['ALCAM', 'PRKCH', 'CHI3L1']",0.678150181374456,0,0,3
164,mmu-miR-5126,0.21429023072333486,4.3916900093370685,6.765064534863979,['FLT1'],0.678150181374456,0,0,1
165,hsa-miR-1284,0.2244569074943915,1.8078401229823213,2.7010424748542476,"['CPNE8', 'ALCAM', 'TSHZ3', 'FAM107B']",0.7060189999369042,0,0,4
166,mmu-miR-3968,0.2394032396265413,1.9160932297447282,2.7392582890398374,"['CECR2', 'FLT1', 'SERPINE1']",0.727197745183149,0,0,3
167,mmu-miR-1b-3p,0.24095572674590227,1.909070796460177,2.7168789627907683,"['FLT1', 'SERPINE1', 'TNFSF10']",0.727197745183149,0,0,3
