first,second
norm_gene_level,true
X_Val_omit_size,0.1
o_dcl,"Vector{String31}[[""cond_0""]; [""cond_0"", ""cond_1""]]"
out_use_norm_cont_cov,false
eigen_reg_disc_cov,1
train_min_steps,1500
align_base,radians
align_other_covariates,false
plot_correct_batches,true
eigen_max,6
o_svd_cumvar,"Float32[0.3038006, 0.47258252, 0.542526, 0.5878789, 0.62319607, 0.6523066, 0.67819756, 0.70156467, 0.72177315, 0.7392873, 0.75574625, 0.7702067, 0.7823886, 0.7941877, 0.80492985, 0.8150167, 0.82477546, 0.83374834, 0.8426472, 0.8509554, 0.8586222, 0.8662032, 0.87344575, 0.8805059, 0.88733137, 0.8936351, 0.8995233, 0.9051463, 0.9103363, 0.915322, 0.92012143, 0.92474437, 0.9291295, 0.9333507, 0.9373789, 0.9410946, 0.9445564, 0.94793147, 0.9512397, 0.95437145, 0.9573104, 0.96010894, 0.9628125, 0.96538514, 0.96790016, 0.9702542, 0.9725146, 0.9747163, 0.97679335, 0.97879815, 0.98059124, 0.9823014, 0.9839684, 0.98548687, 0.98696345, 0.9883512, 0.9897088, 0.9910071, 0.9921601, 0.9932678, 0.9942987, 0.99523586, 0.9961354, 0.996973, 0.9977241, 0.99842346, 0.9990369, 0.9996213, 1.0000001]"
eigen_first_var,false
eigen_reg_exclude,false
plot_disc,false
train_β,"(0.9, 0.999)"
