"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ"
"ILF3",3.31636935092816e-25,8.42216117216117,474.721487596576,"['RPL3', 'RPL32', 'RPL8', 'RPL9', 'RPL7', 'RPS4X', 'RPS14', 'RPL7A', 'RPS16', 'MRPL40', 'RPL18A', 'SUMO1', 'SUMO2', 'MRPL9', 'RPS13', 'RPL21', 'RPS8', 'RPL23', 'RPL22', 'RPS3A', 'RPL37A', 'RPL24', 'SRSF3', 'RPL27', 'RPL29', 'SF3B5', 'NDUFB9', 'RPL10', 'RPL12', 'RPL11', 'RPS27L', 'NEDD8', 'UQCRH', 'MRPL55', 'MRPL20', 'RPS15A', 'RPL13', 'RPL15', 'RPS2', 'RPL18', 'RPL17', 'RPL19', 'NDUFA2', 'RPL23A', 'RPS26', 'RPS25', 'RPS28', 'LAMTOR2', 'SLIRP', 'RPS24', 'RPS23']",6.36742915378207e-23,0,0,51,"ILF3",6.36742915378207e-23,8.5750626488528e-23,3.31900554752378e-17,0.945288807368685,0.94502017113112,0.104620174321775,0.199182377409597,0.0639620268796803
"ESR1",2.11235089009921e-15,3.4688326962658,117.215238577787,"['MRPS17', 'RPL3', 'MYL6B', 'RPL8', 'ALKBH7', 'RPL9', 'RPL7', 'RPS4X', 'RPS14', 'RPL7A', 'NSDHL', 'RPS16', 'SUMO1', 'RPL18A', 'RPS19', 'RPL36AL', 'MED10', 'SEC61B', 'RPS10', 'AP2M1', 'RPS13', 'RPS12', 'RPS9', 'RPS7', 'RPL21', 'RPS8', 'RPL22', 'NME2', 'RPS3A', 'EDF1', 'NME1', 'HAX1', 'RPL37A', 'RPL24', 'SRSF3', 'RPL29', 'FKBP4', 'SLC25A5', 'RPL28', 'RPL10', 'RPL12', 'RPL11', 'RPL36A', 'NEDD8', 'LDHA', 'EXOSC4', 'RPS15A', 'BLOC1S1', 'BAG1', 'RPL13', 'RPL15', 'RPS2', 'CCT7', 'RPL18', 'RPL17', 'CCT4', 'RPL19', 'BTF3', 'FIS1', 'XBP1', 'GADD45A', 'RPL23A', 'RPS26', 'MYO1D', 'RPS25', 'PSMC5', 'NACA', 'RPS24', 'RPS23']",2.02785685449524e-13,0,0,69,"ESR1",2.02785685449524e-13,5.08989621795102e-05,0.383072144242222,0.716056609321262,0.721285304669092,-0.942249653801997,0.87389263524166,0.292555894751709
"ILF2",1.64647076704452e-13,6.66757612135763,196.259917379158,"['RPL10', 'RPL11', 'MRPS34', 'NEDD8', 'RPL8', 'RPL9', 'RPL7', 'MRPL55', 'RPS4X', 'RPL7A', 'RPS16', 'RPS15A', 'SUMO1', 'SUMO2', 'RPS2', 'RPL18', 'RPL17', 'RPS13', 'RPL19', 'MRPS26', 'RPL21', 'RPS8', 'RPL23', 'RPL23A', 'MRPL21', 'RPS26', 'MRPL50', 'SRSF3', 'RPS24', 'RPS23']",1.05374129090849e-11,0,0,30,"ILF2",1.05374129090849e-11,2.00365037059175e-22,8.25484200738865e-11,0.840808307661391,0.844642756568516,-0.196571413653655,0.00895281923153597,0.0205836454600457
"RAD21",2.12639085070378e-12,5.89394378441032,158.409140103401,"['RPL30', 'RPL10', 'RPL11', 'MEA1', 'RPS4X', 'RPS14', 'RPS16', 'RPS15A', 'RPS19', 'SUMO1', 'TMSB4X', 'SUMO2', 'RPL13', 'RPS2', 'RPS27A', 'CCT7', 'RPS10', 'RPL17', 'RPS13', 'RFC3', 'RPS7', 'RPL23', 'RPS5', 'RPL22', 'RPL35A', 'RPS3A', 'RPL23A', 'RPS25', 'NACA', 'UBA52']",1.02066760833781e-10,0,0,30,"RAD21",1.02066760833781e-10,3.0438797952686e-15,1.96172328491202e-05,0.808904599648062,0.813709450205714,-0.129177200796129,0.911545229832325,0.438313101758087
"ESR2",9.84112101975303e-05,2.65287356321839,24.4763554811709,"['RPS9', 'RPL32', 'RPS7', 'RPL23', 'RPS27L', 'RPL23A', 'CWC15', 'RPL7', 'RPS26', 'RPS4X', 'MYO1D', 'RPS25', 'RPL7A', 'RPS16', 'EXOSC4', 'RPL18A', 'RPL36AL', 'MED10', 'RPL29', 'RPS27A', 'RPL17', 'RPS13', 'RPS24']",0.00377899047158516,0,0,23,"ESR2",0.00377899047158516,1.41119989828e-06,0.00490702245575403,NA,NA,NA,0.827143477991978,0.333010343005961
"RFX5",0.00055955279000604,10.248253493014,76.7427415009569,"['NDUFA7', 'LSM7', 'RPS19', 'NDUFA2', 'SLIRP']",0.0179056892801933,0,0,5,"RFX5",0.0179056892801933,3.59127896979293e-18,2.96812907232752e-08,0.657789597570613,0.661762087899229,-0.250233064988135,0.013595307317195,0.0164116483847105
"CHD2",0.000741281938636198,49.037773359841,353.421584027994,"['SUMO1', 'SUMO2', 'PARK7']",0.0203323046025929,0,0,3,"CHD2",0.0203323046025929,2.50646268569467e-14,1.49376215600864e-06,NA,NA,NA,0.00184910510901832,0.373716554695665
"HTT",0.00204191998344034,2.31433473122379,14.3346763007683,"['NDUFB9', 'SETD2', 'NDUFA13', 'NDUFB10', 'MRFAP1', 'COX5B', 'COX6C', 'COX6A1', 'COX5A', 'UQCRH', 'COX6B1', 'LDHA', 'PSMC5', 'CHCHD2', 'SUMO1', 'NDUFS5', 'VDAC2', 'CYC1']",0.0490060796025682,0,0,18,"HTT",0.0490060796025682,2.50765776870846e-06,0.000170105869243246,NA,NA,NA,0.15438431957601,0.538064135426496
"TAF1",0.00413670296895247,2.78905982905983,15.3059592548238,"['RPL7A', 'RPL30', 'LSM7', 'TAF13', 'RPL37A', 'RPL36A', 'RPL35A', 'BAX', 'EDF1', 'COX5A', 'CCT4']",0.0838372310530034,0,0,11,"TAF1",0.0838372310530034,6.59984536135593e-10,5.30000690149033e-07,NA,NA,NA,0.898052030625409,0.0773310182556866
"TCF3",0.00436652245067726,2.40891768292683,13.0895488766489,"['RFC3', 'NDUFB4', 'MRPL49', 'RPL36A', 'MYL6B', 'COX7A2', 'RPL23A', 'PARK7', 'EEF1B2', 'RPL7A', 'RPL24', 'RPL13', 'RPL37', 'RPS13']",0.0838372310530034,0,0,14,"TCF3",0.0838372310530034,0.0526277556162876,0.266642476755352,NA,NA,NA,0.589173094048564,0.101863051309794
